Phage_ID,Host,Lifestyle,Phage_source,Protein_source,Start,Stop,Protein_ID,Product
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,27499.0,27744.0,BAG75016.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,27847.0,28302.0,BAG75017.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,28283.0,28477.0,BAG75018.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,28477.0,28707.0,BAG75019.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,28707.0,28919.0,BAG75020.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,28916.0,29152.0,BAG75021.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,29149.0,29409.0,BAG75022.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,29410.0,29664.0,BAG75023.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,29657.0,30139.0,BAG75024.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,30136.0,30282.0,BAG75025.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,30459.0,30953.0,BAG75026.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,30934.0,31713.0,BAG75027.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,31710.0,31880.0,BAG75028.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,31852.0,32055.0,BAG75029.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,32089.0,32427.0,BAG75030.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,33823.0,34887.0,BAG75033.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,35060.0,35197.0,BAG75034.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,35194.0,35553.0,BAG75035.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,35660.0,36040.0,BAG75036.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,36037.0,36552.0,BAG75037.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,36549.0,36914.0,BAG75038.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,36911.0,37114.0,BAG75039.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,37589.0,37933.0,BAG75040.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,37950.0,38159.0,BAG75041.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,38168.0,38230.0,BAG75042.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,39752.0,39940.0,BAG75045.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,39959.0,40138.0,BAG75046.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,41675.0,41827.0,BAG75049.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,41824.0,41943.0,BAG75050.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,41940.0,42155.0,BAG75051.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,42561.0,42833.0,BAG75053.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,42830.0,43147.0,BAG75054.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,44514.0,44906.0,BAG75057.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,45319.0,45495.0,BAG75059.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,45488.0,45841.0,BAG75060.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,45998.0,46168.0,BAG75061.1,hypothetical protein
AP009624.1,Pseudomonas aeruginosa,temperate,DDBJ,DDBJ,46571.0,46762.0,BAG75063.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,2.0,418.0,BAJ09122.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,411.0,1298.0,BAJ09123.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,2809.0,3294.0,BAJ09126.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,3739.0,4110.0,BAJ09128.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,4110.0,4730.0,BAJ09129.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,6640.0,7143.0,BAJ09132.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,7143.0,7646.0,BAJ09133.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,7660.0,8046.0,BAJ09134.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,8067.0,8288.0,BAJ09135.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,8278.0,10614.0,BAJ09136.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,10611.0,11378.0,BAJ09137.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,11378.0,11743.0,BAJ09138.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,11744.0,12625.0,BAJ09139.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,13387.0,13752.0,BAJ09141.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,15221.0,15985.0,BAJ09143.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,20486.0,20752.0,BAJ09148.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,20749.0,21078.0,BAK78928.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,21042.0,21614.0,BAK78929.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,21630.0,21917.0,BAJ09150.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,21914.0,22033.0,BAK78930.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,22026.0,22445.0,BAJ09151.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,22469.0,22678.0,BAJ09152.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,22675.0,23052.0,BAK78931.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,23282.0,23482.0,BAJ09154.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,23493.0,23759.0,BAJ09155.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,23756.0,24124.0,BAJ09156.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,24134.0,24985.0,BAJ09157.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,25034.0,25354.0,BAJ09158.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,25356.0,25727.0,BAJ09159.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,26950.0,27135.0,BAJ09161.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,27176.0,27571.0,BAJ09162.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,27558.0,28094.0,BAJ09163.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,28094.0,28360.0,BAJ09164.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,33055.0,33261.0,BAK78932.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,33408.0,33593.0,BAJ09168.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,33661.0,34554.0,BAJ09169.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,34613.0,34807.0,BAJ09170.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,34808.0,35083.0,BAJ09171.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,35095.0,35361.0,BAJ09172.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,35361.0,36449.0,BAJ09173.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,36437.0,36598.0,BAJ09174.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,36598.0,36771.0,BAJ09175.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,36864.0,37331.0,BAJ09176.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,37328.0,37543.0,BAK78933.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,38524.0,38748.0,BAJ09179.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,38745.0,39158.0,BAK78934.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,40065.0,40439.0,BAJ09182.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,42298.0,42663.0,BAJ09184.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,43785.0,44267.0,BAK78935.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,44257.0,44520.0,BAJ09187.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,44513.0,44743.0,BAJ09188.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,44745.0,44978.0,BAJ09189.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,45039.0,45593.0,BAJ09190.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,45574.0,45747.0,BAK78936.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,45757.0,46077.0,BAJ09192.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,46077.0,46244.0,BAJ09193.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,46297.0,46794.0,BAJ09194.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,46791.0,47270.0,BAJ09195.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,47441.0,47653.0,BAJ09196.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,47693.0,47878.0,BAJ09197.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,48166.0,48435.0,BAJ09198.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,48447.0,48680.0,BAJ09199.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,48739.0,48942.0,BAK78937.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,49018.0,49566.0,BAJ09200.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,49647.0,50045.0,BAJ09201.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,50112.0,50501.0,BAJ09202.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,50526.0,50639.0,BAJ09203.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,50740.0,50874.0,BAK78938.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,50859.0,51251.0,BAK78939.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,51340.0,51603.0,BAJ09205.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,51603.0,51839.0,BAJ09206.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,51841.0,52119.0,BAJ09207.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,52243.0,52479.0,BAK78940.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,52624.0,53115.0,BAJ09208.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,53126.0,53485.0,BAJ09209.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,53511.0,53978.0,BAJ09210.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,54062.0,54307.0,BAJ09211.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,54383.0,54916.0,BAJ09212.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,55000.0,55506.0,BAJ09213.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,55744.0,55956.0,BAJ09214.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,55982.0,56371.0,BAK78941.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,56444.0,56959.0,BAJ09069.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,57029.0,57211.0,BAJ09070.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,57256.0,57543.0,BAK78942.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,57627.0,57821.0,BAJ09071.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,58264.0,58482.0,BAJ09073.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,58472.0,58696.0,BAJ09074.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,59273.0,59422.0,BAJ09075.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,60040.0,60471.0,BAK78943.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,60461.0,60802.0,BAJ09076.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,60792.0,61166.0,BAJ09077.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,61153.0,61515.0,BAJ09078.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,61502.0,61843.0,BAK78944.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,61840.0,62742.0,BAK78945.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,62739.0,63092.0,BAJ09080.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,63092.0,63772.0,BAJ09081.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,63782.0,64150.0,BAJ09082.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,64143.0,64388.0,BAK78946.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,64375.0,64689.0,BAJ09083.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,64718.0,64906.0,BAK78947.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,65001.0,65390.0,BAJ09084.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,65387.0,66880.0,BAJ09085.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,66880.0,67125.0,BAK78948.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,67169.0,67708.0,BAK78949.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,67701.0,68030.0,BAJ09087.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,68023.0,68217.0,BAK78950.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,68214.0,68933.0,BAJ09088.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,68914.0,69414.0,BAK78951.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,69498.0,69755.0,BAJ09090.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,69739.0,69888.0,BAJ09091.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,69885.0,70253.0,BAJ09092.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,70794.0,71102.0,BAJ09093.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,71099.0,71377.0,BAJ09094.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,71374.0,71553.0,BAJ09095.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,71550.0,72125.0,BAJ09096.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,72127.0,72354.0,BAJ09097.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,72351.0,72686.0,BAJ09098.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,73102.0,73308.0,BAJ09100.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,73495.0,73773.0,BAJ09101.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,75310.0,75795.0,BAK78952.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,76349.0,76597.0,BAJ09105.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,77223.0,77723.0,BAJ09107.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,79067.0,79339.0,BAJ09109.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,79755.0,80192.0,BAJ09111.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,80201.0,80467.0,BAJ09112.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,80577.0,80975.0,BAJ09113.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,80972.0,81532.0,BAJ09114.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,82012.0,82368.0,BAJ09115.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,82370.0,82618.0,BAK78953.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,82823.0,83125.0,BAJ09117.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,84008.0,84826.0,BAJ09118.1,hypothetical protein
AB472900.2,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,84899.0,85324.0,BAJ09119.1,hypothetical protein
AB560486.1,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,569.0,1282.0,BAM37000.1,hypothetical protein
AB560486.1,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,1568.0,1951.0,BAM37001.1,hypothetical protein
AB560486.1,Pseudomonas aeruginosa,virulent,DDBJ,DDBJ,1948.0,2166.0,BAM37002.1,hypothetical protein
