Cluster_Representative,Protein,Cluster_Annotation,Information_Level
AFN 39586,AFN 39586,DNA polymerase,High
AFN 39586,CAO77770.1,DNA polymerase,High
AFN 39586,YP_009215742.1,DNA polymerase,High
AFN 39602,AFN 39602,FmdB-like transcriptional regulator,High
AFN 39602,YP_009215759.1,FmdB-like transcriptional regulator,High
AFN 39602,CAO77786.1,FmdB-like transcriptional regulator,High
AFN 39606,AFN 39606,virion structural protein,High
AFN 39606,YP_001294585.1,virion structural protein,High
AFN 39606,YP_009215763.1,virion structural protein,High
AFN 39606,CAO77790.1,virion structural protein,High
AFN 39613,AFN 39613,Rnase E,High
AFN 39613,CAO77797.1,Rnase E,High
AFN 39616,AFN 39616,Transposase,High
AFN 39616,CAO77801.1,Transposase,High
AFN 39616,YP_001294511.1,Transposase,High
AFN 39616,YP_009215773.1,Transposase,High
AFO12318.1,AFO12318.1,integrase,High
AFO12318.1,AIX12990.1,integrase,High
AFO12318.1,ADV35686.1,integrase,High
AFO70514.1,AFO70514.1,DNA polymerase,High
AFO70514.1,AIX13170.1,DNA polymerase,High
AFO70514.1,AKC04744.1,DNA polymerase,High
AFO70514.1,YP_009206280.1,DNA polymerase,High
AFO70514.1,AIZ94948.1,DNA polymerase,High
AFO70514.1,AIZ94765.1,DNA polymerase,High
AFQ21878.1,AFQ21878.1,AI-2E family transporter,High
AFQ21878.1,ADU15514.1,AI-2E family transporter,High
AFQ21878.1,AII21883.1,AI-2E family transporter,High
AFQ21878.1,AIM40305.1,AI-2E family transporter,High
AFQ21878.1,YP_001469148.1,AI-2E family transporter,High
AFQ21878.1,NP_938227.1,AI-2E family transporter,High
AFQ21878.1,ACA57665.1,AI-2E family transporter,High
AFQ21878.1,AFE86451.1,AI-2E family transporter,High
AFQ21878.1,IMGVR_UViG_2671180414_000002|2671180414|2671225344_33,AI-2E family transporter,High
AFQ21878.1,ACA57717.1,AI-2E family transporter,High
AFQ21878.1,YP_950444.1,AI-2E family transporter,High
AFQ21878.1,AEY99467.1,AI-2E family transporter,High
AFQ22032.1,AFQ22032.1,tail terminator,High
AFQ22032.1,AEX55855.1,tail terminator,High
AFQ22032.1,IMGVR_UViG_2579778972_000003|2579778972|2579836614_51,tail terminator,High
AFQ22070.1,AFQ22070.1,Avd protein of DGR,High
AFQ22070.1,AGC34634.1,Avd protein of DGR,High
AFQ22070.1,TemPhD_cluster_13835_49,Avd protein of DGR,High
AFQ22070.1,YP_164285.1,Avd protein of DGR,High
AFQ22070.1,YP_009273746.1,Avd protein of DGR,High
AFQ22070.1,IMGVR_UViG_2619619278_000004|2619619278|2619687484_24,Avd protein of DGR,High
AFQ22082.1,AFQ22082.1,HNH endonuclease,High
AFQ22082.1,IMGVR_UViG_2579778972_000003|2579778972|2579836614_7,HNH endonuclease,High
AFQ22082.1,YP_009273685.1,HNH endonuclease,High
AFQ22083.1,AFQ22083.1,tail length tape measure protein,High
AFQ22083.1,YP_164271.1,tail length tape measure protein,High
AFQ22087.1,AFQ22087.1,Lar-like restriction alleviation protein,High
AFQ22087.1,CEF89510.1,Lar-like restriction alleviation protein,High
AFQ22087.1,YP_009273690.1,Lar-like restriction alleviation protein,High
AFQ22087.1,IMGVR_UViG_2609460049_000005|2609460049|2609519552_8,Lar-like restriction alleviation protein,High
AFQ22087.1,IMGVR_UViG_2579778822_000001|2579778822|2579820949_7,Lar-like restriction alleviation protein,High
AFR52156.1,AFR52156.1,major head and protease protein,High
AFR52156.1,YP_009188514.1,major head and protease protein,High
AFR52156.1,IMGVR_UViG_2571042625_000005|2571042625|2571133566_51,major head and protease protein,High
AFR52156.1,AAQ13921.1,major head and protease protein,High
AFR52156.1,AFR52209.1,major head and protease protein,High
AFR52157.1,AFR52157.1,phosphoadenosine phosphosulfate reductase,High
AFR52157.1,IMGVR_UViG_2571042854_000003|2571042854|2571152703_41,phosphoadenosine phosphosulfate reductase,High
AFR52157.1,AFR52210.1,phosphoadenosine phosphosulfate reductase,High
AFR52160.1,AFR52160.1,transcriptional regulator,High
AFR52160.1,IMGVR_UViG_2571042625_000005|2571042625|2571133566_47,transcriptional regulator,High
AFR52160.1,AAQ13925.1,transcriptional regulator,High
AFR52160.1,IMGVR_UViG_2675903353_000002|2675903353|2675963208_9,transcriptional regulator,High
AFR52160.1,AFR52213.1,transcriptional regulator,High
AFR52161.1,AFR52161.1,HNH endonuclease,High
AFR52161.1,IMGVR_UViG_2675903353_000002|2675903353|2675963208_10,HNH endonuclease,High
AFR52189.1,AFR52189.1,endonuclease VII,High
AFR52189.1,AAQ13957.1,endonuclease VII,High
AFR52217.1,AFR52217.1,Transposase,High
AFR52217.1,YP_009188521.1,Transposase,High
AFR52217.1,AFR52164.1,Transposase,High
AFR52217.1,IMGVR_UViG_2571042625_000005|2571042625|2571133566_44,Transposase,High
AFR52217.1,IMGVR_UViG_2571042854_000003|2571042854|2571152703_36,Transposase,High
AFR52217.1,IMGVR_UViG_2675903353_000002|2675903353|2675963208_13,Transposase,High
AFR52217.1,AAQ13928.1,Transposase,High
AFR52222.1,AFR52222.1,Mu Gam-like end protection,High
AFR52222.1,YP_009188526.1,Mu Gam-like end protection,High
AFR52222.1,AFR52169.1,Mu Gam-like end protection,High
AFR52222.1,IMGVR_UViG_2571042625_000004|2571042625|2571133567_16,Mu Gam-like end protection,High
AFR52228.1,AFR52228.1,ATP-binding protein,High
AFR52228.1,YP_009188533.1,ATP-binding protein,High
AFR52244.1,AFR52244.1,major head protein,High
AFR52244.1,IMGVR_UViG_2571042625_000005|2571042625|2571133566_18,major head protein,High
AGC34611.1,AGC34611.1,DNA polymerase/primase,High
AGR88961.1,AGR88961.1,head decoration,High
AGR88961.1,ADX32003.1,head decoration,High
AGR88961.1,CEF89552.1,head decoration,High
AGR88961.1,BAJ09126.1,head decoration,High
AGR88964.1,AGR88964.1,head protein,High
AGR88964.1,AGS81687.1,head protein,High
AGR88964.1,CEF89555.1,head protein,High
AGR88964.1,CEF89171.1,head protein,High
AGR89054.1,AGR89054.1,Erf-like ssDNA annealing protein,High
AGR89054.1,AGR89570.1,Erf-like ssDNA annealing protein,High
AGR89054.1,BAJ09213.1,Erf-like ssDNA annealing protein,High
AGR89054.1,CEF89257.1,Erf-like ssDNA annealing protein,High
AGR89054.1,ADX32114.1,Erf-like ssDNA annealing protein,High
AGR89054.1,CEF89634.1,Erf-like ssDNA annealing protein,High
AGR89086.1,AGR89086.1,Lar-like restriction alleviation protein,High
AGR89086.1,AGR89601.1,Lar-like restriction alleviation protein,High
AGR89086.1,CEF89512.1,Lar-like restriction alleviation protein,High
AGR89088.1,AGR89088.1,head maturation protease,High
AGR89088.1,YP_009205984.1,head maturation protease,High
AGR89088.1,BAJ09090.1,head maturation protease,High
AGR89088.1,CEF89514.1,head maturation protease,High
AGR89164.1,AGR89164.1,portal protein,High
AGR89164.1,CEF89022.1,portal protein,High
AGR89164.1,ADD65047.1,portal protein,High
AGR89164.1,YP_009200030.1,portal protein,High
AGR89164.1,ADF58185.1,portal protein,High
AGR89164.1,AEK21622.1,portal protein,High
AGR89184.1,AGR89184.1,head-tail adaptor,High
AGR89184.1,YP_009224806.1,head-tail adaptor,High
ADD65084.1,ADD65084.1,head-tail adaptor,High
AGR89200.1,AGR89200.1,head closure,High
AGR89200.1,ADF58154.1,head closure,High
AGR89200.1,CCM43663.1,head closure,High
AGR89208.1,AGR89208.1,head morphogenesis,High
AGR89208.1,ADF58147.1,head morphogenesis,High
AGR89208.1,AEK21663.1,head morphogenesis,High
AGR89208.1,CEF89452.1,head morphogenesis,High
AGR89208.1,CCM43671.1,head morphogenesis,High
AGR89209.1,AGR89209.1,ATPase,High
AGR89209.1,AGS81771.1,ATPase,High
AGR89209.1,AEK21664.1,ATPase,High
AGR89209.1,ADF58146.1,ATPase,High
AGR89254.1,AGR89254.1,transcriptional regulator,High
AGR89254.1,AGR89429.1,transcriptional regulator,High
AGR89254.1,AEK21549.1,transcriptional regulator,High
AGR89254.1,CEF89325.1,transcriptional regulator,High
AGR89378.1,AGR89378.1,DNA primase/helicase,High
AGR89378.1,ADF58153.1,DNA primase/helicase,High
AGR89378.1,CCM43664.1,DNA primase/helicase,High
AGR89562.1,AGR89562.1,membrane protein,High
AGR89562.1,AGS81709.1,membrane protein,High
AGR89562.1,AGR89046.1,membrane protein,High
AGR89598.1,AGR89598.1,DRB sensitivity-inducing factor large subunit,High
AGR89598.1,AGR89082.1,DRB sensitivity-inducing factor large subunit,High
AGR89598.1,YP_009205980.1,DRB sensitivity-inducing factor large subunit,High
AGS81697.1,AGS81697.1,ribonucleoside reductase class II,High
AGS81697.1,AGR89525.1,ribonucleoside reductase class II,High
AGS81697.1,CEF89591.1,ribonucleoside reductase class II,High
AGS81700.1,AGS81700.1,co-chaperonin GroES,High
AGS81700.1,CEF89607.1,co-chaperonin GroES,High
AGS81700.1,BAK78935.1,co-chaperonin GroES,High
AGS81700.1,AGR89541.1,co-chaperonin GroES,High
AGS81700.1,AGR89025.1,co-chaperonin GroES,High
AGS81766.1,AGS81766.1,MazG-like pyrophosphatase,High
AGS81766.1,AEK21645.1,MazG-like pyrophosphatase,High
AGS81766.1,ADF58163.1,MazG-like pyrophosphatase,High
AGS81766.1,AGR89190.1,MazG-like pyrophosphatase,High
AGS81766.1,AGR89366.1,MazG-like pyrophosphatase,High
AGS81766.1,CCM43655.1,MazG-like pyrophosphatase,High
AGS81769.1,AGS81769.1,tail length tape measure protein,High
AGS81769.1,YP_009200068.1,tail length tape measure protein,High
AGS81769.1,AEK21654.1,tail length tape measure protein,High
AGS81787.1,AGS81787.1,Dda-like helicase,High
AGS81787.1,YP_009224858.1,Dda-like helicase,High
AIK67584.1,AIK67584.1,baseplate wedge subunit,High
AIK67584.1,CAK25953.1,baseplate wedge subunit,High
AIM40300.1,AIM40300.1,tail fiber protein,High
AIM40300.1,AII21887.1,tail fiber protein,High
AIM40300.1,YP_009273644.1,tail fiber protein,High
AIM40300.1,ACA57660.1,tail fiber protein,High
AIM40300.1,AEY99472.1,tail fiber protein,High
AIM40300.1,AFE86446.1,tail fiber protein,High
AIM40300.1,IMGVR_UViG_2540341042_000004|2540341042|2540346462_17,tail fiber protein,High
AIM40300.1,AEY99414.1,tail fiber protein,High
AIM40300.1,IMGVR_UViG_2507262024_000002|2507262024|2507276176_42,tail fiber protein,High
AIM40300.1,AFQ21872.1,tail fiber protein,High
AIM40300.1,ACA57712.1,tail fiber protein,High
AIM40300.1,CEF89945.1,tail fiber protein,High
AIM40300.1,CEF89946.1,tail fiber protein,High
AIM40304.1,AIM40304.1,clamp loader of DNA polymerase,High
AIM40304.1,AII21884.1,clamp loader of DNA polymerase,High
AIM40304.1,AFQ21990.1,clamp loader of DNA polymerase,High
AIM40304.1,AEY99451.1,clamp loader of DNA polymerase,High
AIM40304.1,ACA57664.1,clamp loader of DNA polymerase,High
AIM40304.1,AFE86450.1,clamp loader of DNA polymerase,High
AIM40304.1,ACA57716.1,clamp loader of DNA polymerase,High
AIM40304.1,YP_009274609.1,clamp loader of DNA polymerase,High
AIZ94753.1,AIZ94753.1,tail sheath,High
AIZ94753.1,CDN96816.1,tail sheath,High
AIZ94753.1,AIZ94936.1,tail sheath,High
AIZ94835.1,AIZ94835.1,terminase large subunit,High
AIZ94835.1,AFO70581.1,terminase large subunit,High
AIZ94835.1,AIZ95018.1,terminase large subunit,High
AIZ94835.1,AIZ94926.1,terminase large subunit,High
AIZ94957.1,AIZ94957.1,HNH endonuclease,High
AIZ94957.1,AIZ94774.1,HNH endonuclease,High
AIZ94957.1,AFO70522.1,HNH endonuclease,High
AIZ94957.1,AIX13181.1,HNH endonuclease,High
AIZ94966.1,AIZ94966.1,nucleotide kinase,High
AIZ94966.1,CAZ66288.1,nucleotide kinase,High
AIZ94966.1,AIZ94783.1,nucleotide kinase,High
AIZ94966.1,AFO70531.1,nucleotide kinase,High
AIZ94966.1,YP_009206262.1,nucleotide kinase,High
AIZ94966.1,AKC04817.1,nucleotide kinase,High
AIZ94966.1,AIZ94875.2,nucleotide kinase,High
AKC04756.1,AKC04756.1,DarB-like antirestriction,High
AKC04756.1,AIZ94845.1,DarB-like antirestriction,High
AKC04756.1,YP_009206292.1,DarB-like antirestriction,High
AKC04756.1,CAZ66259.1,DarB-like antirestriction,High
AKC04756.1,AFO70502.1,DarB-like antirestriction,High
AKC04756.1,AIX13158.1,DarB-like antirestriction,High
AKC04791.1,AKC04791.1,kinase,High
AKC04791.1,YP_009206237.1,kinase,High
AKC04791.1,AIZ94991.2,kinase,High
AKC04791.1,CAZ66314.1,kinase,High
AKC04791.1,AIZ94808.2,kinase,High
AKC04791.1,AFO70555.1,kinase,High
AKC04791.1,AIX13214.1,kinase,High
ALH23774.1,ALH23774.1,Host-nuclease inhibitor protein Gam,High
ALH23821.1,ALH23821.1,Phage minor structural protein GP20,High
BAJ09123.1,BAJ09123.1,head maturation protease,High
BAJ09123.1,YP_009206018.1,head maturation protease,High
BAJ09123.1,ADX31999.1,head maturation protease,High
BAJ09123.1,CEF89549.1,head maturation protease,High
BAJ09198.1,BAJ09198.1,collagen like minor tail,High
BAJ09198.1,AGR89552.1,collagen like minor tail,High
BAJ09198.1,AGS81704.1,collagen like minor tail,High
BAJ09198.1,AGR89036.1,collagen like minor tail,High
BAJ09198.1,CEF89618.1,collagen like minor tail,High
BAJ09201.1,BAJ09201.1,endolysin,High
BAJ09201.1,CEF89624.1,endolysin,High
BAJ09201.1,AGR89556.1,endolysin,High
BAJ09201.1,ADX32098.1,endolysin,High
BAJ09201.1,YP_009206097.1,endolysin,High
BAJ09201.1,AGR89040.1,endolysin,High
BAJ09201.1,CEF89247.1,endolysin,High
BAK78949.1,BAK78949.1,single strand DNA binding protein,High
BAK78949.1,CEQ38329.1,single strand DNA binding protein,High
BAM 37073.10,BAM 37073.10,Terminase small subunit,High
BAM 37073.10,CAR31318.1,Terminase small subunit,High
BAM 37073.10,AFD10662.1,Terminase small subunit,High
BAM 37073.10,YP_009193756.1,Terminase small subunit,High
BAM 37073.10,YP_009966969.1,Terminase small subunit,High
BAM 37073.10,AHH02909.1,Terminase small subunit,High
BAM 37073.10,ADF29373.1,Terminase small subunit,High
BAM 37073.10,CAT99742.1,Terminase small subunit,High
BAM 37073.10,CEF89787.1,Terminase small subunit,High
BAM 37073.10,CAR31227.1,Terminase small subunit,High
CAO77759.1,CAO77759.1,Host-nuclease inhibitor protein Gam,High
CAO77760.1,CAO77760.1,primase,High
CAO77760.1,YP_001294552.1,primase,High
CAZ66201.1,CAZ66201.1,primase,High
