Phage_ID,Host,Lifestyle,Phage_source,Protein_source,Protein_ID,Product,Length
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_33,unknown,139.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_34,unknown,36.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_38,unknown,64.0
SAMEA2737694_a1_ct157942_vs1,Pseudomonas,temperate,CHVD,prodigal,SAMEA2737694_a1_ct157942_vs1_41,unknown,219.0
M19377.1,Pseudomonas aeruginosa,virulent,GENBANK,Genbank,AAA88389.1,unknown protein,95.0
M19377.1,Pseudomonas aeruginosa,virulent,GENBANK,Genbank,AAA88390.1,unknown protein,432.0
M19377.1,Pseudomonas aeruginosa,virulent,GENBANK,Genbank,AAA88391.1,unknown protein,303.0
M19377.1,Pseudomonas aeruginosa,virulent,GENBANK,Genbank,AAA88392.1,unknown protein,280.0
M19377.1,Pseudomonas aeruginosa,virulent,GENBANK,Genbank,AAA88393.1,unknown protein,73.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73141.1,unknown,47.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73142.1,unknown,92.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73143.1,unknown,130.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73145.1,unknown,302.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73146.1,unknown,217.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73148.1,unknown,123.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73152.1,unknown,186.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73155.1,unknown,69.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73156.1,unknown,171.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73158.1,unknown,129.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73163.1,unknown,149.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73164.1,unknown,102.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73175.1,unknown,121.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73180.1,unknown,27.0
AF493143.1,Pseudomonas putida,virulent,GENBANK,Genbank,AAO73181.1,unknown,59.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47208.1,unknown,158.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47209.1,unknown,162.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47210.1,unknown,142.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47211.1,unknown,70.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47212.1,unknown,255.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47213.1,unknown,215.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47214.1,unknown,227.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47215.1,unknown,144.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47216.1,unknown,186.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47217.1,unknown,340.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47218.1,unknown,253.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47219.1,unknown,159.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47220.1,unknown,75.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47221.1,unknown,51.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47222.1,unknown,158.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47223.1,unknown,72.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47224.1,unknown,70.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47225.1,unknown,59.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47226.1,unknown,90.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47227.1,unknown,70.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47228.1,unknown,161.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47229.1,unknown,287.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47230.1,unknown,185.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47231.1,unknown,108.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47232.1,unknown,117.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47233.1,unknown,166.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47234.1,unknown,305.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47235.1,unknown,378.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47236.1,unknown,292.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47237.1,unknown,227.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47238.1,unknown,70.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47239.1,unknown,137.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47240.1,unknown,143.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47241.1,unknown,287.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47242.1,unknown,989.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47243.1,unknown,398.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47244.1,unknown,198.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47245.1,unknown,837.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47246.1,unknown,118.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47247.1,unknown,203.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47248.1,unknown,606.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47249.1,unknown,677.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47250.1,unknown,2131.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47251.1,unknown,1651.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47252.1,unknown,174.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47253.1,unknown,199.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47254.1,unknown,141.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47255.1,unknown,90.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47256.1,unknown,230.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47257.1,unknown,32.0
AY625898.1,Pseudomonas aeruginosa,temperate,GENBANK,Genbank,AAT47258.1,unknown,173.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY62906.1,protein of unknown function,276.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63089.1,protein of unknown function,386.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63097.1,protein of unknown function,241.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63099.1,protein of unknown function,631.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63104.1,protein of unknown function,668.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63107.1,protein of unknown function,201.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63124.1,protein of unknown function,643.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63125.1,protein of unknown function,124.0
EU197055.1,Pseudomonas chlororaphis,virulent,GENBANK,Genbank,ABY63139.1,protein of unknown function,124.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_2,unknown,58.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_6,unknown,75.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_8,unknown,91.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_9,unknown,464.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_15,unknown,139.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_18,unknown,173.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_19,unknown,68.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_20,unknown,101.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_21,unknown,85.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_22,unknown,64.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_25,unknown,111.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_26,unknown,138.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_27,unknown,235.0
Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station155_MES_ALL_assembly_NODE_5561_length_18342_cov_5.873353_28,unknown,54.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_1,unknown,122.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_2,Protein of unknown function (DUF3383),57.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_6,unknown,92.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_7,unknown,177.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_8,unknown,171.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_12,unknown,554.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_13,unknown,1016.0
Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_1146_length_13764_cov_55.474871_14,unknown,275.0
Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008_3,unknown,70.0
Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008_4,unknown,67.0
Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008_8,unknown,181.0
Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008_11,Domain of unknown function (DUF4842),140.0
Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008_13,Domain of unknown function (DUF4842),124.0
Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_DCM_ALL_assembly_NODE_5877_length_16676_cov_50.346008_20,unknown,49.0
Station168_IZZ_ALL_assembly_NODE_10948_length_11277_cov_27.117359,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_IZZ_ALL_assembly_NODE_10948_length_11277_cov_27.117359_8,unknown,44.0
Station168_IZZ_ALL_assembly_NODE_10948_length_11277_cov_27.117359,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_IZZ_ALL_assembly_NODE_10948_length_11277_cov_27.117359_9,unknown,140.0
Station168_IZZ_ALL_assembly_NODE_10948_length_11277_cov_27.117359,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station168_IZZ_ALL_assembly_NODE_10948_length_11277_cov_27.117359_18,unknown,29.0
Station85_SUR_COMBINED_FINAL_NODE_2630_length_14249_cov_27.481541,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station85_SUR_COMBINED_FINAL_NODE_2630_length_14249_cov_27.481541_1,Protein of unknown function (DUF968),96.0
Station85_SUR_COMBINED_FINAL_NODE_2630_length_14249_cov_27.481541,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station85_SUR_COMBINED_FINAL_NODE_2630_length_14249_cov_27.481541_7,Protein of unknown function (DUF1566),565.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_1,unknown,69.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_2,unknown,706.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_3,unknown,327.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_4,unknown,432.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_5,unknown,115.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_6,unknown,71.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_9,unknown,75.0
Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station178_SUR_ALL_assembly_NODE_5115_length_16855_cov_2.886190_15,unknown,137.0
Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638_6,Domain of unknown function (DUF4842),137.0
Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638_11,unknown,143.0
Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638_13,Protein of unknwon function (DUF3008),64.0
Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station78_MES_DO_NOT_POOL_NODE_4927_length_11426_cov_10.471638_15,Protein of unknown function (DUF2945),63.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_1,unknown,298.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_2,unknown,44.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_3,unknown,450.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_4,unknown,327.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_5,unknown,473.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_6,unknown,115.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_7,unknown,71.0
Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station180_ZZZ_ALL_assembly_NODE_6827_length_11648_cov_2.031053_11,unknown,75.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_1,unknown,41.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_2,unknown,69.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_4,unknown,117.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_7,Protein of unknown function (DUF1071),246.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_9,unknown,86.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_10,unknown,88.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_13,unknown,60.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_14,unknown,96.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_15,unknown,70.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_16,unknown,186.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_17,unknown,69.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_19,unknown,350.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_22,unknown,66.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_23,unknown,77.0
Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808,Pseudomonas aeruginosa,virulent,GOV2,prodigal,Station68_DCM_ALL_assembly_NODE_836_length_16608_cov_4.974808_24,unknown,84.0
